Timestamps are UTC timezone,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume IOT,Volume ABTC
2019-05-20 09-PM,IOTABTC,0,7.254e-05,0,7.254e-05,0.0,0.0
2019-05-18 01-PM,IOTABTC,0,7.254e-05,0,7.254e-05,0.0,0.0
2019-05-17 01-AM,IOTABTC,0,7.254e-05,0,7.254e-05,0.0,0.0
2019-05-16 02-AM,IOTABTC,0,7.254e-05,0,7.254e-05,0.0,0.0
2019-05-14 10-PM,IOTABTC,0,7.254e-05,0,7.254e-05,0.0,0.0
2019-05-14 01-AM,IOTABTC,0,7.254e-05,0,7.254e-05,0.0,0.0
2019-05-13 03-PM,IOTABTC,0,7.254e-05,0,7.254e-05,0.0,0.0
2019-05-11 02-PM,IOTABTC,0,7.254e-05,0,7.254e-05,0.0,0.0
2019-05-07 09-AM,IOTABTC,0,7.254e-05,0,7.254e-05,0.0,0.0
2019-05-06 10-AM,IOTABTC,0,7.254e-05,0,7.254e-05,0.0,0.0
2019-05-05 03-AM,IOTABTC,0,7.254e-05,0,7.254e-05,0.0,0.0
2019-05-04 01-AM,IOTABTC,0,7.254e-05,0,7.254e-05,0.0,0.0
2019-05-03 01-AM,IOTABTC,0,7.254e-05,0,7.254e-05,0.0,0.0
2019-05-02 01-AM,IOTABTC,0,7.254e-05,0,7.254e-05,0.0,0.0
2019-05-01 02-AM,IOTABTC,0,7.254e-05,0,7.254e-05,0.0,0.0
2019-04-30 01-AM,IOTABTC,0,7.254e-05,0,7.254e-05,0.0,0.0
2019-04-27 01-PM,IOTABTC,0,7.254e-05,0,7.254e-05,0.0,0.0
2019-04-26 01-AM,IOTABTC,0,7.254e-05,0,7.254e-05,0.0,0.0
2019-04-22 11-PM,IOTABTC,0,7.254e-05,0,7.254e-05,0.0,0.0
2019-04-22 01-AM,IOTABTC,0,7.254e-05,0,7.254e-05,0.0,0.0
2019-04-20 07-PM,IOTABTC,0,7.254e-05,0,7.254e-05,0.0,0.0
2019-04-18 11-PM,IOTABTC,0,7.254e-05,0,7.254e-05,0.0,0.0
2019-04-18 01-AM,IOTABTC,0,7.254e-05,0,7.254e-05,0.0,0.0
2019-04-16 11-PM,IOTABTC,0,7.254e-05,0,7.254e-05,0.0,0.0
2019-04-14 08-PM,IOTABTC,0,7.254e-05,0,7.254e-05,0.0,0.0
2019-04-13 12-PM,IOTABTC,0,7.254e-05,0,7.254e-05,0.0,0.0
2019-04-11 10-AM,IOTABTC,0,7.254e-05,0,7.254e-05,0.0,0.0
2019-04-10 10-AM,IOTABTC,0,7.254e-05,0,7.254e-05,0.0,0.0
2019-04-09 11-AM,IOTABTC,0,7.254e-05,0,7.254e-05,0.0,0.0
2019-04-06 03-PM,IOTABTC,0,7.254e-05,0,7.254e-05,0.0,0.0
2019-04-05 12-AM,IOTABTC,0,7.254e-05,0,7.254e-05,0.0,0.0
2019-04-02 11-PM,IOTABTC,0,7.254e-05,0,7.254e-05,0.0,0.0
2019-04-01 11-PM,IOTABTC,0,7.254e-05,0,7.254e-05,0.0,0.0
2019-03-27 11-PM,IOTABTC,0,7.254e-05,0,7.254e-05,0.0,0.0
2019-03-26 01-AM,IOTABTC,0,7.254e-05,0,7.254e-05,0.0,0.0
2019-03-19 01-AM,IOTABTC,0,7.254e-05,0,7.254e-05,0.0,0.0
2019-03-16 04-PM,IOTABTC,0,7.254e-05,0,7.254e-05,0.0,0.0
2019-03-12 12-AM,IOTABTC,0,7.254e-05,0,7.254e-05,0.0,0.0
2019-03-08 11-PM,IOTABTC,0,7.254e-05,0,7.254e-05,0.0,0.0
2019-03-08 01-AM,IOTABTC,0,7.254e-05,0,7.254e-05,0.0,0.0
2019-03-05 01-AM,IOTABTC,0,7.254e-05,0,7.254e-05,0.0,0.0
2019-02-28 11-PM,IOTABTC,0,7.254e-05,0,7.254e-05,0.0,0.0
2019-02-23 04-PM,IOTABTC,0,7.254e-05,0,7.254e-05,0.0,0.0
2019-02-21 02-AM,IOTABTC,0,7.254e-05,0,7.254e-05,0.0,0.0
2019-02-17 02-PM,IOTABTC,0,7.254e-05,0,7.254e-05,0.0,0.0
2019-02-14 12-AM,IOTABTC,0,7.254e-05,0,7.254e-05,0.0,0.0
2019-02-10 07-PM,IOTABTC,0,7.254e-05,0,7.254e-05,0.0,0.0
2019-02-08 11-PM,IOTABTC,0,7.254e-05,0,7.254e-05,0.0,0.0
2019-02-05 12-AM,IOTABTC,0,7.254e-05,0,7.254e-05,0.0,0.0
2019-02-04 12-AM,IOTABTC,0,7.254e-05,0,7.254e-05,0.0,0.0
2019-02-02 04-PM,IOTABTC,0,7.254e-05,0,7.254e-05,0.0,0.0
2019-01-31 02-AM,IOTABTC,0,7.254e-05,0,7.254e-05,0.0,0.0
2019-01-30 12-AM,IOTABTC,0,7.254e-05,0,7.254e-05,0.0,0.0
2019-01-28 01-AM,IOTABTC,0,7.254e-05,0,7.254e-05,0.0,0.0
2019-01-26 02-PM,IOTABTC,0,7.254e-05,0,7.254e-05,0.0,0.0
2019-01-24 12-AM,IOTABTC,0,7.254e-05,0,7.254e-05,0.0,0.0
2019-01-23 12-AM,IOTABTC,0,7.254e-05,0,7.254e-05,0.0,0.0
2019-01-20 02-PM,IOTABTC,0,7.254e-05,0,7.254e-05,0.0,0.0
2019-01-19 03-PM,IOTABTC,0,7.254e-05,0,7.254e-05,0.0,0.0
2019-01-18 12-PM,IOTABTC,0,7.254e-05,0,7.254e-05,0.0,0.0
2019-01-18 03-AM,IOTABTC,0,7.254e-05,0,7.254e-05,0.0,0.0
2019-01-16 11-PM,IOTABTC,0,7.254e-05,0,7.254e-05,0.0,0.0
2019-01-16 02-AM,IOTABTC,0,7.254e-05,0,7.254e-05,0.0,0.0
2019-01-14 02-PM,IOTABTC,0,7.254e-05,0,7.254e-05,0.0,0.0
2019-01-14 01-PM,IOTABTC,0,7.254e-05,0,7.254e-05,0.0,0.0
2019-01-13 12-PM,IOTABTC,0,7.254e-05,0,7.254e-05,0.0,0.0
2019-01-10 11-PM,IOTABTC,0,7.254e-05,0,7.254e-05,0.0,0.0
2019-01-09 12-AM,IOTABTC,0,7.254e-05,0,7.254e-05,0.0,0.0
2019-01-08 03-AM,IOTABTC,0,7.254e-05,0,7.254e-05,0.0,0.0
2019-01-05 12-PM,IOTABTC,0,7.254e-05,0,7.254e-05,0.0,0.0
2019-01-03 01-AM,IOTABTC,0,7.254e-05,0,7.254e-05,0.0,0.0
2018-12-31 01-PM,IOTABTC,0,7.254e-05,0,7.254e-05,0.0,0.0
2018-12-26 11-PM,IOTABTC,0,7.254e-05,0,7.254e-05,0.0,0.0
2018-12-25 11-PM,IOTABTC,0,7.254e-05,0,7.254e-05,0.0,0.0
2018-12-24 09-PM,IOTABTC,0,7.254e-05,0,7.254e-05,0.0,0.0
2018-12-22 12-PM,IOTABTC,0,7.254e-05,0,7.254e-05,0.0,0.0
2018-12-20 10-AM,IOTABTC,0,7.254e-05,0,7.254e-05,0.0,0.0
2018-12-19 10-AM,IOTABTC,0,7.254e-05,0,7.254e-05,0.0,0.0
2018-12-16 08-PM,IOTABTC,0,7.254e-05,0,7.254e-05,0.0,0.0
2018-12-15 12-AM,IOTABTC,0,7.254e-05,0,7.254e-05,0.0,0.0
2018-12-13 12-PM,IOTABTC,0,7.254e-05,0,7.254e-05,0.0,0.0
2018-12-11 11-PM,IOTABTC,0,7.254e-05,0,7.254e-05,0.0,0.0
2018-12-11 11-AM,IOTABTC,0,7.254e-05,0,7.254e-05,0.0,0.0
2018-12-10 01-AM,IOTABTC,0,7.254e-05,0,7.254e-05,0.0,0.0
2018-12-08 05-PM,IOTABTC,0,7.254e-05,0,7.254e-05,0.0,0.0
2018-12-07 01-PM,IOTABTC,0,7.254e-05,0,7.254e-05,0.0,0.0
2018-11-28 12-AM,IOTABTC,0,7.254e-05,0,7.254e-05,0.0,0.0
2018-11-25 06-PM,IOTABTC,0,7.254e-05,0,7.254e-05,0.0,0.0
2018-11-24 12-PM,IOTABTC,0,7.254e-05,0,7.254e-05,0.0,0.0
2018-11-20 01-PM,IOTABTC,0,7.254e-05,0,7.254e-05,0.0,0.0
2018-11-18 08-PM,IOTABTC,0,7.254e-05,0,7.254e-05,0.0,0.0
2018-11-15 04-PM,IOTABTC,0,7.254e-05,0,7.254e-05,0.0,0.0
2018-11-14 02-PM,IOTABTC,0,7.254e-05,0,7.254e-05,0.0,0.0
2018-11-12 11-PM,IOTABTC,0,7.254e-05,0,7.254e-05,0.0,0.0
2018-11-09 03-PM,IOTABTC,0,7.254e-05,0,7.254e-05,0.0,0.0
2018-11-08 05-PM,IOTABTC,0,7.254e-05,0,7.254e-05,0.0,0.0
2018-11-08 02-AM,IOTABTC,0,7.254e-05,0,7.254e-05,0.0,0.0
2018-11-07 01-AM,IOTABTC,0,7.254e-05,0,7.254e-05,0.0,0.0
2018-11-05 05-PM,IOTABTC,0,7.254e-05,0,7.254e-05,0.0,0.0
2018-11-04 04-PM,IOTABTC,0,7.254e-05,0,7.254e-05,0.0,0.0
2018-11-03 01-AM,IOTABTC,0,7.254e-05,0,7.254e-05,0.0,0.0
2018-11-01 06-PM,IOTABTC,0,7.254e-05,0,7.254e-05,0.0,0.0
2018-10-31 12-AM,IOTABTC,0,7.254e-05,0,7.254e-05,0.0,0.0
2018-10-28 08-PM,IOTABTC,0,7.254e-05,0,7.254e-05,0.0,0.0
2018-10-27 08-PM,IOTABTC,0,7.254e-05,0,7.254e-05,0.0,0.0
2018-10-25 10-PM,IOTABTC,0,7.254e-05,0,7.254e-05,0.0,0.0
2018-10-23 11-PM,IOTABTC,0,7.254e-05,0,7.254e-05,0.0,0.0
2018-10-22 12-PM,IOTABTC,0,7.254e-05,0,7.254e-05,0.0,0.0
2018-10-18 01-AM,IOTABTC,0,7.254e-05,0,7.254e-05,0.0,0.0
2018-10-16 12-AM,IOTABTC,0,7.254e-05,0,7.254e-05,0.0,0.0
2018-10-14 06-PM,IOTABTC,0,7.254e-05,0,7.254e-05,0.0,0.0
2018-10-13 01-AM,IOTABTC,0,7.254e-05,0,7.254e-05,0.0,0.0
2018-10-11 12-AM,IOTABTC,0,7.254e-05,0,7.254e-05,0.0,0.0
2018-10-10 12-AM,IOTABTC,0,7.254e-05,0,7.254e-05,0.0,0.0
2018-10-08 03-PM,IOTABTC,0,7.254e-05,0,7.254e-05,0.0,0.0
2018-10-07 04-PM,IOTABTC,0,7.254e-05,0,7.254e-05,0.0,0.0
2018-10-06 02-PM,IOTABTC,0,7.254e-05,0,7.254e-05,0.0,0.0
2018-10-04 10-PM,IOTABTC,0,7.254e-05,0,7.254e-05,0.0,0.0
2018-10-03 11-PM,IOTABTC,0,7.254e-05,0,7.254e-05,0.0,0.0
2018-10-02 12-AM,IOTABTC,0,7.254e-05,0,7.254e-05,0.0,0.0
2018-09-29 12-AM,IOTABTC,0,7.254e-05,0,7.254e-05,0.0,0.0
2018-09-28 01-AM,IOTABTC,0,7.254e-05,0,7.254e-05,0.0,0.0
2018-09-26 10-PM,IOTABTC,0,7.254e-05,0,7.254e-05,0.0,0.0
2018-09-25 03-AM,IOTABTC,0,7.254e-05,0,7.254e-05,0.0,0.0
2018-09-23 11-PM,IOTABTC,0,7.254e-05,0,7.254e-05,0.0,0.0
2018-09-21 11-PM,IOTABTC,0,7.254e-05,0,7.254e-05,0.0,0.0
2018-09-20 11-AM,IOTABTC,0,7.254e-05,0,7.254e-05,0.0,0.0
2018-09-19 12-PM,IOTABTC,0,7.254e-05,0,7.254e-05,0.0,0.0
2018-09-18 12-AM,IOTABTC,0,7.254e-05,0,7.254e-05,0.0,0.0
2018-09-16 11-PM,IOTABTC,0,7.254e-05,0,7.254e-05,0.0,0.0
2018-09-15 02-PM,IOTABTC,0,7.254e-05,0,7.254e-05,0.0,0.0
2018-09-13 11-PM,IOTABTC,0,7.254e-05,0,7.254e-05,0.0,0.0
2018-09-12 10-PM,IOTABTC,0,7.254e-05,0,7.254e-05,0.0,0.0
2018-09-11 04-PM,IOTABTC,0,7.254e-05,0,7.254e-05,0.0,0.0
2018-09-10 04-PM,IOTABTC,0,7.254e-05,0,7.254e-05,0.0,0.0
2018-09-09 05-PM,IOTABTC,0,7.254e-05,0,7.254e-05,0.0,0.0
2018-09-07 10-PM,IOTABTC,0,7.254e-05,0,7.254e-05,0.0,0.0
2018-09-06 10-PM,IOTABTC,0,7.254e-05,0,7.254e-05,0.0,0.0
2018-09-06 12-AM,IOTABTC,0,7.254e-05,0,7.254e-05,0.0,0.0
2018-09-05 05-PM,IOTABTC,0,7.254e-05,0,7.254e-05,0.0,0.0
2018-09-04 03-PM,IOTABTC,0,7.254e-05,0,7.254e-05,0.0,0.0
2018-09-03 03-PM,IOTABTC,0,7.254e-05,0,7.254e-05,0.0,0.0
2018-09-02 03-PM,IOTABTC,0,7.254e-05,0,7.254e-05,0.0,0.0
2018-08-31 11-PM,IOTABTC,0,7.254e-05,0,7.254e-05,0.0,0.0
2018-08-31 12-PM,IOTABTC,0,7.254e-05,0,7.254e-05,0.0,0.0
2018-08-31 02-AM,IOTABTC,0,7.254e-05,0,7.254e-05,0.0,0.0
2018-08-29 11-PM,IOTABTC,0,7.254e-05,0,7.254e-05,0.0,0.0
2018-08-28 11-PM,IOTABTC,0,7.254e-05,0,7.254e-05,0.0,0.0
2018-08-28 09-AM,IOTABTC,0,7.254e-05,0,7.254e-05,0.0,0.0
2018-08-26 10-PM,IOTABTC,0,7.254e-05,0,7.254e-05,0.0,0.0
2018-08-26 02-AM,IOTABTC,0,7.254e-05,0,7.254e-05,0.0,0.0
2018-08-25 02-AM,IOTABTC,0,7.254e-05,0,7.254e-05,0.0,0.0
2018-08-22 11-PM,IOTABTC,0,7.254e-05,0,7.254e-05,0.0,0.0
2018-08-22 07-PM,IOTABTC,0,7.254e-05,0,7.254e-05,0.0,0.0
2018-08-21 07-AM,IOTABTC,0,7.254e-05,0,7.254e-05,0.0,0.0
2018-08-21 12-AM,IOTABTC,0,7.254e-05,0,7.254e-05,0.0,0.0
2018-08-20 01-PM,IOTABTC,0,7.254e-05,0,7.254e-05,0.0,0.0
2018-08-18 03-PM,IOTABTC,0,7.254e-05,0,7.254e-05,0.0,0.0
2018-08-15 10-PM,IOTABTC,0,7.254e-05,0,7.254e-05,0.0,0.0
2018-08-13 10-PM,IOTABTC,0,7.254e-05,0,7.254e-05,0.0,0.0
2018-08-12 10-PM,IOTABTC,0,7.254e-05,0,7.254e-05,0.0,0.0
2018-08-12 12-PM,IOTABTC,0,7.254e-05,0,7.254e-05,0.0,0.0
2018-08-12 12-AM,IOTABTC,0,7.254e-05,0,7.254e-05,0.0,0.0
2018-08-11 01-PM,IOTABTC,0,7.254e-05,0,7.254e-05,0.0,0.0
2018-08-10 10-PM,IOTABTC,0,7.254e-05,0,7.254e-05,0.0,0.0
2018-08-10 10-AM,IOTABTC,0,7.254e-05,0,7.254e-05,0.0,0.0
2018-08-09 10-PM,IOTABTC,0,7.254e-05,0,7.254e-05,0.0,0.0
2018-08-08 10-PM,IOTABTC,0,7.254e-05,0,7.254e-05,0.0,0.0
2018-08-07 11-PM,IOTABTC,0,7.254e-05,0,7.254e-05,0.0,0.0
2018-08-07 12-AM,IOTABTC,0,7.254e-05,0,7.254e-05,0.0,0.0
2018-08-05 02-PM,IOTABTC,0,7.254e-05,0,7.254e-05,0.0,0.0
2018-08-04 12-AM,IOTABTC,0,7.254e-05,0,7.254e-05,0.0,0.0
2018-08-03 03-AM,IOTABTC,0,7.254e-05,0,7.254e-05,0.0,0.0
2018-08-02 12-AM,IOTABTC,0,7.254e-05,0,7.254e-05,0.0,0.0
2018-08-01 01-AM,IOTABTC,0,7.254e-05,0,7.254e-05,0.0,0.0
2018-07-30 11-PM,IOTABTC,0,7.254e-05,0,7.254e-05,0.0,0.0
2018-07-30 12-AM,IOTABTC,0,7.254e-05,0,7.254e-05,0.0,0.0
2018-07-28 10-PM,IOTABTC,0,7.254e-05,0,7.254e-05,0.0,0.0
